"kod_kraja" "obvod" "kod_okresu" "kod_obce" "obec" "pocet_hlasov" "OlanoNova_hlasy" "OlanoNova_percent" "SmeRodina_hlasy" "SmeRodina_percent" "Most_hlasy" "Most_percent" "SNS_hlasy" "SNS_percent" "SMER_hlasy" "SMER_percent" "KDH_hlasy" "KDH_percent" "LSNS_hlasy" "LSNS_percent" "Siet_hlasy" "Siet_percent" "SMK_hlasy" "SMK_percent" "SaS_hlasy" "SaS_percent" "mladi" "zaklad.stred" "mladiXvzdel" "zakladne_vzdelanie_." "bez_vzdelania_." "obyvatelov2004" "pocet_obyvatelov_2014" "rozdiel_obyvatelov" "perce_rozdiel_obyv_2014_ku2004" "vek65v" "madarska_narodnost" "rim_kat" "vek0_14" "vs_vzdelanie_mgr" "perc_romov" "prirastok_romov" "per_uoz" "lng" "lat"
"763" "NSK" "Nitra" 403 500313 "Hruboňovo" 250 21 8.4 18 7.2 10 4 17 6.8 105 42 15 6 39 15.6 11 4.4 0 0 11 4.4 7.17 70.55 505.8435 20.55 12.65 477 502 25 5.24 18.18 0.2 86.56 12.65 6.52 0 0 2.99 18.0235965 48.4395551
"815" "NSK" "Nitra" 407 500321 "Choča" 284 18 6.33 16 5.63 4 1.4 33 11.61 144 50.7 11 3.87 25 8.8 7 2.46 0 0 14 4.92 5.79 74.12 429.1548 22.18 13.42 502 501 -1 -0.2 14.2 0.39 85.6 13.42 5.45 16.04 14.86 9.38 18.3227748 48.3564166
"483" "TCSK" "Považská Bystrica" 308 500348 "Zubák" 377 26 6.89 38 10.07 5 1.32 36 9.54 169 44.82 10 2.65 53 14.05 15 3.97 0 0 12 3.18 8.26 77.05 636.433 22.26 15.07 912 860 -52 -5.7 11.53 0.11 92.58 15.07 3.77 0 0 5.7 18.2194654 49.1493296
"765" "NSK" "Nitra" 403 500356 "Jarok" 1114 82 7.36 71 6.37 20 1.79 129 11.57 434 38.95 128 11.49 93 8.34 50 4.48 1 0.08 84 7.54 7.04 69.35 488.224 17.15 14.72 1751 1947 196 11.19 12.97 0.26 90.21 14.72 7.62 0 0 3.03 17.9604137 48.2773889
"816" "NSK" "Nitra" 407 500364 "Jedľové Kostoľany" 495 41 8.28 39 7.87 3 0.6 57 11.51 220 44.44 11 2.22 64 12.92 12 2.42 0 0 21 4.24 8.46 74.71 632.0466 24.55 13.28 1005 922 -83 -8.26 20.72 0.11 87.04 13.28 4.14 0 0 5.64 18.4968513 48.4717991
"766" "NSK" "Nitra" 403 500372 "Jelenec" 990 94 9.49 97 9.79 215 21.71 47 4.74 203 20.5 30 3.03 69 6.96 31 3.13 106 10.7 75 7.57 6.93 67.58 468.3294 17.31 14.61 1977 2064 87 4.4 12.35 26.66 87.6 14.61 6.69 5.41 34.15 5.33 18.2285161 48.37643
"767" "NSK" "Nitra" 403 500381 "Jelšovce" 486 40 8.23 47 9.67 59 12.13 30 6.17 154 31.68 23 4.73 36 7.4 27 5.55 1 0.2 43 8.84 7.44 66.77 496.7688 19.29 14.14 943 1008 65 6.89 16.57 4.85 85.45 14.04 9.39 4.79 0 4.46 18.0586926 48.3843993
"768" "NSK" "Nitra" 403 500399 "Kapince" 119 2 1.68 7 5.88 2 1.68 12 10.08 73 61.34 1 0.84 12 10.08 4 3.36 0 0 3 2.52 4.28 79.19 338.9332 25.38 12.18 184 187 3 1.63 22.34 0 86.29 12.18 4.06 0 0 6.42 17.9753488 48.4492773
"769" "NSK" "Nitra" 403 500402 "Klasov" 660 67 10.15 55 8.33 104 15.75 15 2.27 163 24.69 15 2.27 34 5.15 26 3.93 117 17.72 45 6.81 8.73 72.28 631.0044 28.53 11.2 1235 1318 83 6.72 12.17 33.92 89.28 10.96 5.8 0 0 5.77 18.2583613 48.2771832
"770" "NSK" "Nitra" 403 500411 "Kolíňany" 777 41 5.27 72 9.26 259 33.33 17 2.18 100 12.87 14 1.8 37 4.76 26 3.34 155 19.94 32 4.11 7.04 67.01 471.7504 16.62 14.97 1458 1606 148 10.15 13.44 49.68 87.77 14.97 7.83 0 0 3.55 18.1958676 48.3599728
"817" "NSK" "Nitra" 407 500429 "Kostoľany pod Tribečom" 239 12 5.02 6 2.51 4 1.67 18 7.53 151 63.17 4 1.67 13 5.43 22 9.2 0 0 3 1.25 6.59 75.81 499.5879 23.66 11.29 358 349 -9 -2.51 21.51 1.34 87.37 11.29 4.03 0 0 3.44 18.2460868 48.415221
"818" "NSK" "Nitra" 407 500437 "Ladice" 362 14 3.86 24 6.62 77 21.27 14 3.86 104 28.72 3 0.82 31 8.56 28 7.73 36 9.94 15 4.14 7.69 72.33 556.2177 16.87 13.77 802 741 -61 -7.61 15.11 31.85 84.48 13.77 4.72 0 0 7.83 18.2613255 48.3950086
"771" "NSK" "Nitra" 403 500453 "Lehota" 1193 110 9.22 120 10.05 18 1.5 127 10.64 474 39.73 48 4.02 122 10.22 63 5.28 0 0 92 7.71 6.31 68.52 432.3612 15.41 15.36 1790 2233 443 24.75 13.25 0.43 79.62 15.36 6.51 0 0 4.3 17.9893964 48.3128281
"819" "NSK" "Nitra" 407 500461 "Lovce" 384 22 5.72 20 5.2 6 1.56 30 7.81 207 53.9 14 3.64 45 11.71 14 3.64 0 0 20 5.2 9.53 72.51 691.0203 17.4 11.7 689 661 -28 -4.06 13.16 0.15 85.38 11.7 6.58 0 0 5.14 18.3625498 48.4449219
"772" "NSK" "Nitra" 403 500470 "Lúčnica nad Žitavou" 524 28 5.34 31 5.91 10 1.9 57 10.87 273 52.09 18 3.43 45 8.58 7 1.33 0 0 40 7.63 7.96 74.5 593.02 21.48 14.21 915 917 2 0.22 19.24 0.56 86.02 14.21 5.26 0 0 5.34 18.2858086 48.2176021
"774" "NSK" "Nitra" 403 500488 "Lukáčovce" 533 47 8.81 54 10.13 11 2.06 68 12.75 160 30.01 76 14.25 42 7.87 25 4.69 0 0 39 7.31 7.88 71.29 561.7652 18.18 16.74 1009 1142 133 13.18 14.85 0.09 92.26 16.74 4.05 0 0 4.99 17.9342127 48.3975578
"820" "NSK" "Nitra" 407 500500 "Machulince" 566 54 9.54 40 7.06 11 1.94 83 14.66 176 31.09 65 11.48 53 9.36 31 5.47 0 0 36 6.36 8.79 71.24 626.1996 16.49 13.23 1045 1126 81 7.75 12.75 0 90.89 13.23 6.23 0 0 3.82 18.4298672 48.4093841
"799" "NSK" "Nitra" 403 500518 "Veľké Chyndice" 190 18 9.47 13 6.84 21 11.05 10 5.26 72 37.89 13 6.84 16 8.42 7 3.68 0 0 11 5.78 8.78 79.28 696.0784 24.01 10.86 334 319 -15 -4.49 17.43 17.43 94.08 10.86 3.62 0 0 3.45 18.2853191 48.2895419
"777" "NSK" "Nitra" 403 500534 "Malé Zálužie" 163 12 7.36 5 3.06 1 0.61 24 14.72 91 55.82 0 0 4 2.45 4 2.45 0 0 18 11.04 6.47 74.81 484.0207 21.11 8.15 257 278 21 8.17 24.44 0 41.85 8.15 8.52 15.71 -12 3.6 17.9863254 48.4359812
"822" "NSK" "Nitra" 407 500542 "Mankovce" 298 18 6.04 25 8.38 4 1.34 34 11.4 140 46.97 12 4.02 16 5.36 9 3.02 0 0 31 10.4 8.79 70.19 616.9701 18.68 11.13 538 535 -3 -0.56 11.7 0.19 91.13 11.13 8.68 0 0 4.11 18.3260511 48.426105
"823" "NSK" "Nitra" 407 500551 "Martin nad Žitavou" 300 14 4.66 24 8 2 0.66 39 13 104 34.66 20 6.66 59 19.66 8 2.66 0 0 21 7 8.73 71.48 624.0204 13.68 12.33 538 527 -11 -2.04 11.95 0 84.78 12.33 6.36 0 0 5.88 18.3550054 48.3971731
"780" "NSK" "Nitra" 403 500569 "Melek" 235 21 8.93 9 3.82 3 1.27 17 7.23 127 54.04 21 8.93 12 5.1 1 0.42 0 0 10 4.25 9.05 75.11 679.7455 27.35 15.7 459 453 -6 -1.31 16.82 0 92.38 15.7 3.81 0 0 7.06 18.3270371 48.2025437
"781" "NSK" "Nitra" 403 500577 "Mojmírovce" 1245 84 6.74 75 6.02 23 1.84 175 14.05 491 39.43 60 4.81 149 11.96 41 3.29 1 0.08 109 8.75 6.13 62.65 384.0445 17.37 15.5 2712 2856 144 5.31 13.6 0.6 78.61 15.47 11.28 17.46 42.05 5.01 18.0642377 48.2074711
"824" "NSK" "Nitra" 407 500585 "Nemčiňany" 305 31 10.16 21 6.88 4 1.31 27 8.85 132 43.27 31 10.16 30 9.83 5 1.63 0 0 15 4.91 7.66 71.22 545.5452 22.73 13.81 755 692 -63 -8.34 19.14 0 85.18 13.81 4.6 11.05 1.33 3.61 18.4455167 48.3066304
"825" "NSK" "Nitra" 407 500593 "Neverice" 340 25 7.35 29 8.52 2 0.58 40 11.76 173 50.88 6 1.76 25 7.35 9 2.64 1 0.29 21 6.17 5.74 72.69 417.2406 16.57 11.04 674 680 6 0.89 16.42 1.19 79.7 11.04 6.27 0 0 4.56 18.2753297 48.36725
"826" "NSK" "Nitra" 407 500607 "Nevidzany" 379 19 5.01 15 3.95 8 2.11 61 16.09 145 38.25 19 5.01 41 10.81 7 1.84 1 0.26 53 13.98 6.41 70.64 452.8024 18.29 14.43 608 593 -15 -2.47 15.27 0.67 96.31 14.26 6.71 0 0 3.2 18.3803871 48.2865678
"784" "NSK" "Nitra" 403 500631 "Nová Ves nad Žitavou" 658 71 10.79 47 7.14 12 1.82 67 10.18 305 46.35 24 3.64 39 5.92 24 3.64 0 0 50 7.59 6.12 64.74 396.2088 13.88 14.1 1266 1340 74 5.85 15.9 0 82.9 14.1 9.08 6.46 84.78 5.15 18.3227505 48.2893947
"785" "NSK" "Nitra" 403 500640 "Nové Sady" 733 30 4.09 62 8.45 14 1.9 90 12.27 309 42.15 31 4.22 70 9.54 42 5.72 0 0 63 8.59 7.11 71.66 509.5026 17.78 12.89 1266 1294 28 2.21 18.09 0.23 64.83 12.89 7.61 0 0 3.48 17.9838104 48.4171558
"827" "NSK" "Nitra" 407 500658 "Obyce" 758 94 12.4 44 5.8 6 0.79 133 17.54 278 36.67 40 5.27 82 10.81 27 3.56 0 0 35 4.61 7.69 70.66 543.3754 16.97 12.38 1544 1521 -23 -1.49 15.17 0 92.15 12.31 7.45 0 0 4.34 18.4538547 48.4280129
"786" "NSK" "Nitra" 403 500666 "Paňa" 185 16 8.64 9 4.86 11 5.94 13 7.02 83 44.86 0 0 15 8.1 7 3.78 2 1.08 18 9.72 8.38 68.59 574.7842 19.02 14.12 317 370 53 16.72 19.31 4.32 83.57 14.12 6.63 0 0 5.95 18.226998 48.2303897
"787" "NSK" "Nitra" 403 500674 "Podhorany" 579 71 12.26 32 5.52 36 6.21 53 9.15 235 40.58 19 3.28 33 5.69 25 4.31 3 0.51 47 8.11 5.02 68 341.36 15.77 14.75 1069 1095 26 2.43 16.51 3.25 86.73 14.75 9.37 0 0 3.47 18.111993 48.38414
"788" "NSK" "Nitra" 403 500682 "Pohranice" 593 44 7.41 42 7.08 129 21.75 14 2.36 78 13.15 5 0.84 64 10.79 17 2.86 148 24.95 39 6.57 6.04 69.93 422.3772 18.16 15.08 1069 1077 8 0.75 14.06 46.93 91.25 15.08 6.42 0 0 4.83 18.1838436 48.3312814
"789" "NSK" "Nitra" 403 500691 "Poľný Kesov" 340 21 6.17 15 4.41 5 1.47 34 10 147 43.23 8 2.35 48 14.11 17 5 0 0 33 9.7 6.52 67.36 439.1872 14.79 14.79 608 644 36 5.92 18.17 0.16 77.97 14.79 8.2 0 0 2.64 18.0626999 48.1623741
"790" "NSK" "Nitra" 403 500704 "Rišňovce" 1032 102 9.88 66 6.39 14 1.35 108 10.46 437 42.34 75 7.26 71 6.87 46 4.45 0 0 84 8.13 6.04 67.68 408.7872 16.33 16.67 1962 2054 92 4.69 13.15 0.14 87.96 16.67 7.8 0 0 4.67 17.8971482 48.3672845
"791" "NSK" "Nitra" 403 500712 "Rumanová" 443 39 8.8 28 6.32 2 0.45 59 13.31 226 51.01 12 2.7 34 7.67 8 1.8 0 0 24 5.41 6.38 72.45 462.231 19.25 17.11 769 831 62 8.06 13.96 0 85.03 17.11 4.65 0 0 4.69 17.8700193 48.3288676
"828" "NSK" "Nitra" 407 500721 "Skýcov" 527 40 7.59 33 6.26 7 1.32 71 13.47 237 44.97 23 4.36 41 7.77 9 1.7 0 0 52 9.86 6.83 72.07 492.2381 21.92 11.45 1049 981 -68 -6.48 16.97 0.29 85.74 11.45 6.5 0 0 4.69 18.4224334 48.5051963
"909" "NSK" "Šaľa" 405 500739 "Močenok" 2102 183 8.7 137 6.51 51 2.42 344 16.36 691 32.87 186 8.84 212 10.08 83 3.94 6 0.28 154 7.32 8.7 69.65 605.955 18.89 15.71 4307 4288 -19 -0.44 14.31 1.12 88.28 14.85 5.63 4.52 733.33 4.52 17.9305715 48.2262394
"829" "NSK" "Nitra" 407 500747 "Sľažany" 907 86 9.48 67 7.38 26 2.86 86 9.48 426 46.96 25 2.75 90 9.92 21 2.31 0 0 47 5.18 6.92 71.33 493.6036 17.48 15.52 1668 1719 51 3.06 16.11 0.65 90.7 15.52 5.45 0 0 4.13 18.3287143 48.3967521
"830" "NSK" "Nitra" 407 500755 "Slepčany" 480 37 7.7 32 6.66 6 1.25 62 12.91 209 43.54 37 7.7 36 7.5 13 2.7 0 0 30 6.25 8.39 67.73 568.2547 15.37 12.06 854 822 -32 -3.75 15.25 0.47 89.01 12.06 8.51 0 0 3.77 18.3376045 48.3102682
"795" "NSK" "Nitra" 403 500780 "Šurianky" 374 17 4.54 15 4.01 4 1.06 34 9.09 185 49.46 17 4.54 51 13.63 14 3.74 0 0 26 6.95 6.69 71.07 475.4583 20.07 16.05 564 598 34 6.03 15.22 0.33 90.47 16.05 4.52 0 0 6.52 18.0210515 48.424641
"796" "NSK" "Nitra" 403 500798 "Tajná" 174 10 5.74 11 6.32 2 1.14 22 12.64 82 47.12 2 1.14 21 12.06 5 2.87 0 0 16 9.19 4.59 75.91 348.4269 21.53 11.68 279 283 4 1.43 24.45 1.09 82.85 11.68 3.65 0 0 4.95 18.3617481 48.26295
"832" "NSK" "Nitra" 407 500810 "Tesárske Mlyňany" 848 68 8.01 48 5.66 14 1.65 91 10.73 353 41.62 56 6.6 91 10.73 31 3.65 0 0 54 6.36 7.27 72.91 530.0557 17.94 13.9 1653 1787 134 8.11 13.43 0.06 87.58 13.9 5.11 0 0 4.64 18.3568271 48.3378417
"833" "NSK" "Nitra" 407 500828 "Topoľčianky" 1504 156 10.37 90 5.98 31 2.06 201 13.36 483 32.11 131 8.71 132 8.77 87 5.78 0 0 142 9.44 7.1 65.64 466.044 13.54 12.09 2866 2705 -161 -5.62 16.53 0.11 86.17 12.05 11.25 0 0 4.21 18.4092097 48.4226694
"834" "NSK" "Nitra" 407 500836 "Velčice" 472 51 10.8 38 8.05 1 0.21 50 10.59 242 51.27 11 2.33 32 6.77 11 2.33 0 0 16 3.38 6.27 67.43 422.7861 16.46 14.41 854 829 -25 -2.93 16.59 0.36 87.65 14.41 6.9 0 0 3.86 18.3039072 48.4149993
"798" "NSK" "Nitra" 403 500844 "Veľká Dolina" 336 14 4.16 25 7.44 7 2.08 29 8.63 160 47.61 4 1.19 51 15.17 12 3.57 0 0 24 7.14 6.5 72.26 469.69 19.36 14.02 594 677 83 13.97 13.26 0 67.84 14.02 6.71 0 0 3.1 18.0321135 48.1837644
"800" "NSK" "Nitra" 403 500887 "Veľké Zálužie" 2064 163 7.89 173 8.38 26 1.25 224 10.85 714 34.59 199 9.64 212 10.27 103 4.99 0 0 203 9.83 7.19 69.3 498.267 17.61 15.92 3937 4159 222 5.64 11.78 0.22 87.64 15.9 7.14 6.36 -12.99 3.94 17.9389925 48.3095662
"801" "NSK" "Nitra" 403 500895 "Veľký Cetín" 929 46 4.95 53 5.7 329 35.41 12 1.29 65 6.99 5 0.53 37 3.98 16 1.72 310 33.36 41 4.41 5.85 70.89 414.7065 24.31 12.59 1679 1591 -88 -5.24 16.9 69.08 94.33 12.59 5.92 0 0 5.15 18.1887864 48.2173996
"836" "NSK" "Nitra" 407 500909 "Vieska nad Žitavou" 260 18 6.92 11 4.23 3 1.15 33 12.69 98 37.69 13 5 40 15.38 12 4.61 0 0 26 10 8.37 75.16 629.0892 14.29 9.23 455 466 11 2.42 17.14 0.44 91.21 9.23 7.25 0 0 2.58 18.3596236 48.317603
"803" "NSK" "Nitra" 403 500917 "Vinodol" 882 60 6.8 57 6.46 34 3.85 93 10.54 392 44.44 42 4.76 85 9.63 44 4.98 1 0.11 43 4.87 8.42 68.27 574.8334 22.52 18.63 1875 1983 108 5.76 11.02 2.54 86.9 18.53 4.45 20.01 39.86 4.99 18.2103382 48.1919619
"837" "NSK" "Nitra" 407 500925 "Volkovce" 448 32 7.14 22 4.91 3 0.66 43 9.59 192 42.85 48 10.71 35 7.81 19 4.24 0 0 35 7.81 5.78 74.23 429.0494 17.81 11.14 1009 1020 11 1.09 19.2 0.5 68.86 11.14 4.38 7.46 87.5 5.59 18.4551292 48.3376892
"804" "NSK" "Nitra" 403 500933 "Vráble" 4454 413 9.27 297 6.66 230 5.16 401 9 1547 34.73 183 4.1 403 9.04 202 4.53 36 0.8 571 12.81 7.17 66.59 477.4503 12.68 13.24 9501 8804 -697 -7.34 11.27 3.78 83.19 13.23 10.07 2.19 25 4.79 18.3086177 48.2435625
"805" "NSK" "Nitra" 403 500941 "Výčapy - Opatovce" 1167 137 11.73 57 4.88 105 8.99 93 7.96 422 36.16 56 4.79 74 6.34 72 6.16 5 0.42 108 9.25 6.31 66.84 421.7604 16.05 14.98 2139 2188 49 2.29 16.37 2.74 89.19 14.98 9.51 0 0 3.88 18.0857047 48.4076985
"806" "NSK" "Nitra" 403 500950 "Zbehy" 1100 79 7.18 74 6.72 22 2 159 14.45 472 42.9 58 5.27 56 5.09 34 3.09 0 0 114 10.36 6.06 61.5 372.69 12.94 16.34 2159 2261 102 4.72 14.77 0.22 82.99 16.34 10.3 3.95 0 3.72 18.0134254 48.3668511
"838" "NSK" "Nitra" 407 500968 "Zlaté Moravce" 6202 630 10.15 346 5.57 137 2.2 751 12.1 2185 35.23 322 5.19 601 9.69 276 4.45 5 0.08 689 11.1 6.47 62.45 404.0515 12.17 13.3 13646 11855 -1791 -13.12 12.82 0.58 77.34 13.29 12.33 6.74 1.76 4.94 18.3912685 48.3851703
"839" "NSK" "Nitra" 407 500976 "Zlatno" 128 6 4.68 2 1.56 0 0 33 25.78 52 40.62 2 1.56 11 8.59 6 4.68 0 0 0 0 8.44 67.26 567.6744 24.66 8.52 253 225 -28 -11.07 23.77 2.69 87.89 8.07 10.31 0 0 10.22 18.3129642 48.4645418
