"kod_kraja" "obvod" "kod_okresu" "kod_obce" "obec" "pocet_hlasov" "OlanoNova_hlasy" "OlanoNova_percent" "SmeRodina_hlasy" "SmeRodina_percent" "Most_hlasy" "Most_percent" "SNS_hlasy" "SNS_percent" "SMER_hlasy" "SMER_percent" "KDH_hlasy" "KDH_percent" "LSNS_hlasy" "LSNS_percent" "Siet_hlasy" "Siet_percent" "SMK_hlasy" "SMK_percent" "SaS_hlasy" "SaS_percent" "mladi" "zaklad.stred" "mladiXvzdel" "zakladne_vzdelanie_." "bez_vzdelania_." "obyvatelov2004" "pocet_obyvatelov_2014" "rozdiel_obyvatelov" "perce_rozdiel_obyv_2014_ku2004" "vek65v" "madarska_narodnost" "rim_kat" "vek0_14" "vs_vzdelanie_mgr" "perc_romov" "prirastok_romov" "per_uoz" "lng" "lat"
"419" "TCSK" "Nové Mesto nad Váhom" 304 506265 "Moravské Lieskové" 1326 118 8.89 99 7.46 30 2.26 126 9.5 536 40.42 36 2.71 113 8.52 49 3.69 1 0.07 142 10.7 5.82 71.32 415.0824 16.82 14.84 2453 2543 90 3.67 17.14 0.16 37.88 14.8 5.67 2.1 178.95 4.52 17.7926823 48.8183763
"596" "TCSK" "Trenčín" 309 506273 "Motešice" 411 34 8.27 38 9.24 9 2.18 40 9.73 137 33.33 39 9.48 49 11.92 8 1.94 0 0 37 9 6.28 69.97 439.4116 12.72 13.36 817 796 -21 -2.57 14.5 0 87.02 13.36 7.25 0 0 5.03 18.1864393 48.8312311
"597" "TCSK" "Trenčín" 309 506281 "Nemšová" 3265 376 11.51 317 9.7 57 1.74 392 12 928 28.42 355 10.87 240 7.35 151 4.62 2 0.06 336 10.29 7.67 66.27 508.2909 12.45 14.46 6220 6274 54 0.87 11.43 0.08 86.23 14.46 8.67 0 0 3.25 18.1159863 48.9632186
"598" "TCSK" "Trenčín" 309 506290 "Neporadza" 419 59 14.08 35 8.35 5 1.19 55 13.12 123 29.35 47 11.21 31 7.39 19 4.53 0 0 26 6.2 7.15 75.61 540.6115 15.07 14.3 765 797 32 4.18 12.9 0 86.97 14.3 4.09 0 0 3.39 18.1532402 48.8222635
"420" "TCSK" "Nové Mesto nad Váhom" 304 506303 "Nová Bošáca" 539 55 10.2 27 5 7 1.29 78 14.47 193 35.8 41 7.6 46 8.53 28 5.19 1 0.18 34 6.3 6.87 76.42 525.0054 19.72 12.18 1199 1106 -93 -7.76 20.42 0.09 70.11 12.09 4.56 0 0 5.42 17.7952798 48.8784702
"421" "TCSK" "Nové Mesto nad Váhom" 304 506311 "Nová Lehota" 132 15 11.36 10 7.57 3 2.27 9 6.81 44 33.33 4 3.03 25 18.93 1 0.75 0 0 13 9.84 5.56 76.59 425.8404 33.66 12.68 235 198 -37 -15.74 27.8 0 42.44 12.68 2.93 16.99 29.63 5.56 17.9800397 48.6582223
"423" "TCSK" "Nové Mesto nad Váhom" 304 506338 "Nové Mesto nad Váhom" 10047 1157 11.51 875 8.7 258 2.56 884 8.79 3002 29.87 382 3.8 927 9.22 626 6.23 2 0.01 1522 15.14 6.24 61.58 384.2592 10.95 12.59 20976 20119 -857 -4.09 14.89 0.14 49.24 12.56 12.44 0 0 3.68 17.8253958 48.7568395
"424" "TCSK" "Nové Mesto nad Váhom" 304 506346 "Očkov" 248 13 5.24 31 12.5 4 1.61 19 7.66 85 34.27 12 4.83 44 17.74 16 6.45 0 0 18 7.25 6.76 71.49 483.2724 14.04 18.14 452 488 36 7.96 16.41 0.43 89.85 18.14 2.38 0 0 2.25 17.7642863 48.653441
"599" "TCSK" "Trenčín" 309 506354 "Omšenie" 989 57 5.76 66 6.67 12 1.21 155 15.67 435 43.98 27 2.73 144 14.56 31 3.13 0 0 38 3.84 7.31 76.64 560.2384 14.73 13.41 1950 1996 46 2.36 14.27 0 87.76 13.41 3.86 0 0 3.51 18.2275801 48.9016837
"600" "TCSK" "Trenčín" 309 506371 "Opatovce" 202 20 9.9 11 5.44 6 2.97 22 10.89 61 30.19 12 5.94 21 10.39 11 5.44 0 0 23 11.38 6.73 70.34 473.3882 14.46 15.93 383 401 18 4.7 15.44 0 86.27 15.93 8.82 0 0 2.99 17.9772126 48.8596274
"425" "TCSK" "Nové Mesto nad Váhom" 304 506401 "Pobedim" 534 60 11.23 40 7.49 6 1.12 64 11.98 205 38.38 32 5.99 55 10.29 26 4.86 0 0 31 5.8 9.52 69.05 657.356 15.22 11.44 1223 1177 -46 -3.76 15.9 0.08 77.12 11.35 5.97 10.03 0.85 4.33 17.8027474 48.6489869
"394" "TCSK" "Nové Mesto nad Váhom" 303 506419 "Podkylava" 150 10 6.66 11 7.33 3 2 27 18 60 40 2 1.33 16 10.66 8 5.33 0 0 9 6 4.87 78.42 381.9054 19.09 10.37 253 226 -27 -10.67 21.99 0 8.71 9.54 7.05 0 0 3.54 17.6687812 48.682754
"426" "TCSK" "Nové Mesto nad Váhom" 304 506427 "Podolie" 949 113 11.9 90 9.48 11 1.15 103 10.85 289 30.45 59 6.21 111 11.69 62 6.53 0 0 83 8.74 5.98 70.49 421.5302 18.14 14.65 2046 1958 -88 -4.3 17.16 0 81.56 14.6 6.56 11.72 17.35 5.62 17.7730883 48.6713786
"427" "TCSK" "Nové Mesto nad Váhom" 304 506435 "Potvorice" 331 31 9.36 39 11.78 4 1.2 43 12.99 117 35.34 17 5.13 28 8.45 14 4.22 0 0 30 9.06 4.93 70.34 346.7762 14.83 18.1 556 609 53 9.53 16.38 0 78.62 18.1 4.14 0 0 4.11 17.8478816 48.6888922
"428" "TCSK" "Nové Mesto nad Váhom" 304 506443 "Považany" 647 50 7.72 60 9.27 17 2.62 102 15.76 243 37.55 19 2.93 53 8.19 17 2.62 0 0 66 10.2 8.84 69.34 612.9656 15.98 13.2 1263 1279 16 1.27 15.29 0 81.7 13.13 7.8 0 0 3.91 17.8427909 48.7136883
"602" "TCSK" "Trenčín" 309 506478 "Selec" 541 45 8.31 31 5.73 5 0.92 59 10.9 239 44.17 24 4.43 48 8.87 20 3.69 0 0 43 7.94 6.87 71.46 490.9302 14.77 15.67 958 1004 46 4.8 15.17 0 81.04 15.67 5.99 0 0 3.78 17.9914714 48.7788985
"604" "TCSK" "Trenčín" 309 506508 "Soblahov" 1160 113 9.74 81 6.98 14 1.2 134 11.55 372 32.06 75 6.46 84 7.24 78 6.72 0 0 143 12.32 6.7 64.39 431.413 14.07 15.65 1933 2240 307 15.88 13.32 0.09 85.1 15.65 8.96 0 0 2.99 18.0855723 48.863302
"429" "TCSK" "Nové Mesto nad Váhom" 304 506516 "Stará Lehota" 120 12 10 15 12.5 1 0.83 18 15 24 20 10 8.33 12 10 7 5.83 0 0 12 10 6.05 76.69 463.9745 22.46 9.75 273 215 -58 -21.25 18.22 0 84.75 9.75 5.93 0 0 4.19 17.9481931 48.6519207
"430" "TCSK" "Nové Mesto nad Váhom" 304 506524 "Stará Turá" 4703 547 11.63 369 7.84 115 2.44 329 6.99 1459 31.02 113 2.4 482 10.24 298 6.33 3 0.06 749 15.92 5.92 69.11 409.1312 10.24 11.45 10129 9172 -957 -9.45 13.77 0.15 24.47 11.44 9.56 0.43 -50 3.26 17.6897947 48.7808322
"605" "TCSK" "Trenčín" 309 506532 "Svinná" 872 87 9.97 82 9.4 32 3.66 86 9.86 294 33.71 44 5.04 102 11.69 34 3.89 0 0 75 8.6 6.61 64.48 426.2128 10.73 14.64 1500 1588 88 5.87 14.57 0.13 83.91 14.57 8.77 0 0 3.78 18.1635075 48.7860004
"606" "TCSK" "Trenčín" 309 506541 "Štvrtok" 215 30 13.95 8 3.72 7 3.25 15 6.97 69 32.09 7 3.25 16 7.44 24 11.16 0 0 28 13.02 6.27 66.11 414.5097 13.73 15.13 367 351 -16 -4.36 15.97 0 36.69 15.13 9.8 0 0 5.13 17.8819262 48.8201745
"607" "TCSK" "Trenčín" 309 506559 "Trenčianska Teplá" 2099 254 12.1 149 7.09 42 2 234 11.14 646 30.77 139 6.62 260 12.38 102 4.85 1 0.04 194 9.24 6.49 63.45 411.7905 11.49 14.65 3905 4192 287 7.35 15.21 0.02 73.79 14.65 9.27 2.38 122.73 3.77 18.1207133 48.9343112
"608" "TCSK" "Trenčín" 309 506567 "Trenčianska Turná" 1826 266 14.56 166 9.09 56 3.06 174 9.52 506 27.71 117 6.4 114 6.24 95 5.2 0 0 250 13.69 5.96 62.31 371.3676 11.44 16.86 2690 3170 480 17.84 12.08 0.06 79.65 16.86 11.22 0 0 3.03 18.0179457 48.85057
"431" "TCSK" "Nové Mesto nad Váhom" 304 506583 "Trenčianske Bohuslavice" 527 49 9.29 39 7.4 5 0.94 48 9.1 161 30.55 31 5.88 58 11 48 9.1 1 0.18 64 12.14 10.02 73.3 734.466 13.9 10.79 946 908 -38 -4.02 11.68 0.11 78.31 10.79 5.56 0 0 2.86 17.8580896 48.8025995
"609" "TCSK" "Trenčín" 309 506591 "Trenčianske Jastrabie" 694 92 13.25 41 5.9 4 0.57 56 8.06 302 43.51 44 6.34 54 7.78 29 4.17 0 0 48 6.91 7.17 71.03 509.2851 13.77 12.26 1213 1214 1 0.08 14.44 0 89.59 12.26 6.88 0 0 3.95 18.1116841 48.8013686
"610" "TCSK" "Trenčín" 309 506605 "Trenčianske Mitice" 406 38 9.35 25 6.15 3 0.73 47 11.57 155 38.17 26 6.4 42 10.34 17 4.18 0 0 29 7.14 6.86 72.36 496.3896 17.21 17.73 717 773 56 7.81 14.73 0.26 93.09 17.73 3.65 0 0 3.75 18.1137196 48.8044037
"612" "TCSK" "Trenčín" 309 506613 "Trenčianske Teplice" 2469 331 13.4 190 7.69 98 3.96 271 10.97 672 27.21 140 5.67 133 5.38 150 6.07 7 0.28 365 14.78 6.2 58.64 363.568 8.58 10.41 4304 4130 -174 -4.04 18.82 0.19 65.07 10.36 14.01 1.29 0 3.22 18.1675364 48.9094889
"432" "TCSK" "Nové Mesto nad Váhom" 304 506630 "Vaďovce" 367 24 6.53 25 6.81 11 2.99 33 8.99 130 35.42 10 2.72 52 14.16 38 10.35 0 0 27 7.35 7.12 68.21 485.6552 15.32 15.7 689 758 69 10.01 14.93 0 25.35 15.7 6.31 13 76.36 5.15 17.7225901 48.7377724
"614" "TCSK" "Trenčín" 309 506648 "Veľká Hradná" 377 27 7.16 22 5.83 7 1.85 67 17.77 118 31.29 51 13.52 20 5.3 17 4.5 0 0 34 9.01 5.73 68.52 392.6196 16.49 15.89 657 698 41 6.24 17.24 0 92.05 15.89 7.8 0 0 2.87 18.1399622 48.7700942
"615" "TCSK" "Trenčín" 309 506656 "Veľké Bierovce" 376 44 11.7 31 8.24 6 1.59 38 10.1 125 33.24 26 6.91 31 8.24 25 6.64 0 0 35 9.3 5.6 69.85 391.16 15.85 14.92 606 678 72 11.88 15.08 0.15 81.38 14.92 8.62 0 0 2.8 17.9830699 48.8524988
"433" "TCSK" "Nové Mesto nad Váhom" 304 506672 "Višňové" 100 4 4 8 8 0 0 7 7 47 47 1 1 13 13 1 1 0 0 11 11 4.09 75.84 310.1856 22.47 13.48 194 171 -23 -11.86 23.6 0 20.22 13.48 5.62 0 0 2.34 17.7528619 48.7259059
"334" "TTSK" "Trnava" 207 506745 "Trnava" 33123 6011 18.14 2713 8.19 967 2.91 2298 6.93 8557 25.83 1531 4.62 2652 8 1971 5.95 20 0.06 5346 16.13 5.99 57.62 345.1438 11.51 13.21 69488 65713 -3775 -5.43 11.92 0.21 60.3 13.04 14.16 2.46 700 2.97 17.5833218 48.3709108
"297" "TTSK" "Trnava" 207 506788 "Bíňovce" 355 30 8.45 19 5.35 5 1.4 31 8.73 168 47.32 24 6.76 28 7.88 18 5.07 0 0 19 5.35 7.54 70.25 529.685 17.49 17.49 653 663 10 1.53 17.64 0 90.13 17.19 5.23 0 0 1.36 17.4813864 48.5040282
"298" "TTSK" "Trnava" 207 506796 "Bohdanovce nad Trnavou" 692 84 12.13 59 8.52 4 0.57 65 9.39 195 28.17 32 4.62 77 11.12 55 7.94 0 0 102 14.73 5.97 63.96 381.8412 13.15 15.03 979 1306 327 33.4 13.75 0.17 82.41 14.86 12.21 0 0 2.68 17.5450347 48.4294102
"272" "TTSK" "Trnava" 203 506800 "Bojničky" 651 69 10.59 73 11.21 8 1.22 47 7.21 241 37.01 28 4.3 67 10.29 37 5.68 0 0 56 8.6 6.21 71.81 445.9401 19.09 17.23 1266 1369 103 8.14 13.8 0.3 88.37 17.23 4.25 0 0 4.31 17.79809 48.391048
"299" "TTSK" "Trnava" 207 506818 "Boleráz" 1101 136 12.35 123 11.17 13 1.18 103 9.35 329 29.88 59 5.35 109 9.9 65 5.9 1 0.09 124 11.26 7.56 70.44 532.5264 15.66 14.03 2045 2262 217 10.61 13.63 0.14 79.69 13.72 7.76 3.67 19.12 3.4 17.4938478 48.4657012
"300" "TTSK" "Trnava" 207 506826 "Borová" 236 50 21.18 24 10.16 8 3.38 20 8.47 82 34.74 3 1.27 18 7.62 9 3.81 0 0 16 6.77 5.39 69.95 377.0305 16.16 16.67 330 408 78 23.64 13.38 0.25 77.78 16.16 6.57 0 0 2.94 17.4456781 48.387151
"301" "TTSK" "Trnava" 207 506842 "Brestovany" 1247 134 10.74 112 8.98 12 0.96 132 10.58 428 34.32 60 4.81 154 12.34 41 3.28 0 0 135 10.82 5.72 67.34 385.1848 13.07 15.86 1994 2554 560 28.08 13.42 0.09 79.77 15.6 7.16 0 0 3.21 17.6876763 48.387272
"302" "TTSK" "Trnava" 207 506851 "Bučany" 1197 146 12.19 92 7.68 12 1 126 10.52 410 34.25 74 6.18 126 10.52 79 6.59 0 0 112 9.35 7.26 72.03 522.9378 16.01 16.06 2128 2300 172 8.08 12.88 0.04 87.6 15.62 5.73 0 0 3.3 17.700311 48.4186727
"303" "TTSK" "Trnava" 207 506869 "Buková" 343 24 6.99 22 6.41 2 0.58 27 7.87 149 43.44 11 3.2 33 9.62 14 4.08 0 0 43 12.53 7.25 76.99 558.1775 19.4 12.33 659 662 3 0.46 15.94 0 83.61 11.88 4.81 0 0 4.83 17.3953017 48.5420317
"304" "TTSK" "Trnava" 207 506877 "Cífer" 2339 285 12.18 193 8.25 52 2.22 153 6.54 709 30.31 84 3.59 213 9.1 294 12.56 0 0 296 12.65 6.88 66.51 457.5888 15.2 14.86 3810 4142 332 8.71 14.78 0.25 81.37 14.56 8.17 0 0 2.75 17.4900401 48.3133734
"273" "TTSK" "Trnava" 203 506885 "Červeník" 886 116 13.09 67 7.56 8 0.9 89 10.04 306 34.53 82 9.25 85 9.59 40 4.51 0 0 75 8.46 5.93 66.98 397.1914 17.67 15.48 1485 1669 184 12.39 15.23 0.19 84.09 15.48 8.65 0 0 2.4 17.7565253 48.461331
"305" "TTSK" "Trnava" 207 506893 "Dechtice" 1044 108 10.34 72 6.89 8 0.76 120 11.49 418 40.03 52 4.98 111 10.63 48 4.59 0 0 77 7.37 8.35 70.83 591.4305 13.62 14.85 1778 1868 90 5.06 13.14 0.16 89.6 14.53 6.43 0 0 3.16 17.5964376 48.5472808
"307" "TTSK" "Trnava" 207 506915 "Dobrá Voda" 472 69 14.61 44 9.32 7 1.48 36 7.62 130 27.54 38 8.05 65 13.77 23 4.87 0 0 41 8.68 8.52 70.16 597.7632 18.89 15.52 844 810 -34 -4.03 18.29 0 86.28 15.28 6.86 0 0 3.09 17.5394936 48.5967552
"308" "TTSK" "Trnava" 207 506923 "Dolná Krupá" 1198 160 13.35 84 7.01 15 1.25 102 8.51 468 39.06 62 5.17 87 7.26 51 4.25 0 0 120 10.01 7.75 73.25 567.6875 17.51 13.57 2219 2284 65 2.93 14.27 0.09 84.28 13.35 6.7 0 0 3.94 17.5548711 48.4804365
"309" "TTSK" "Trnava" 207 506931 "Dolné Dubové" 365 49 13.42 17 4.65 5 1.36 37 10.13 135 36.98 25 6.84 27 7.39 16 4.38 0 0 38 10.41 6.57 71.78 471.5946 13.18 13.33 598 670 72 12.04 12.4 0 94.26 13.18 7.91 0 0 3.58 17.6061444 48.4944001
"311" "TTSK" "Trnava" 207 506940 "Dolné Orešany" 735 115 15.64 63 8.57 8 1.08 74 10.06 251 34.14 30 4.08 75 10.2 27 3.67 0 0 65 8.84 7.06 71.69 506.1314 18.04 13.41 1193 1275 82 6.87 15.53 0.16 81.49 13.18 6.67 0 0 2.9 17.4291779 48.4392777
"274" "TTSK" "Trnava" 203 506958 "Dolné Otrokovce" 180 24 13.33 24 13.33 1 0.55 18 10 44 24.44 11 6.11 23 12.77 3 1.66 0 0 23 12.77 7.85 69.23 543.4555 17.86 18.13 344 382 38 11.05 16.21 0.82 81.87 18.13 5.22 0 0 2.62 17.9130645 48.4661058
"275" "TTSK" "Trnava" 203 506966 "Dolné Trhovište" 325 18 5.53 26 8 3 0.92 35 10.76 163 50.15 17 5.23 25 7.69 3 0.92 0 0 19 5.84 7.07 72.77 514.4839 16.62 14.46 642 651 9 1.4 15.23 0.15 83.54 14.46 4.77 0 0 3.38 17.9030278 48.4426934
"196" "TTSK" "Piešťany" 204 506982 "Dolný Lopašov" 518 72 13.89 36 6.94 7 1.35 29 5.59 191 36.87 38 7.33 48 9.26 36 6.94 0 0 49 9.45 7.94 71.77 569.8538 20.04 14.69 991 957 -34 -3.43 15.22 0 85.83 14.69 4.93 0 0 2.93 17.6423912 48.5771553
"197" "TTSK" "Piešťany" 204 506991 "Drahovce" 1281 170 13.27 95 7.41 12 0.93 139 10.85 426 33.25 59 4.6 160 12.49 63 4.91 0 0 125 9.75 8.12 72.51 588.7812 18.23 14.13 2543 2561 18 0.71 15.1 0.15 87.88 14.13 4.88 1.89 -10.91 3.28 17.8010704 48.5177303
"198" "TTSK" "Piešťany" 204 507008 "Dubovany" 456 53 11.62 46 10.08 7 1.53 46 10.08 145 31.79 28 6.14 46 10.08 28 6.14 0 0 44 9.64 6.57 73.95 485.8515 19.71 14.2 937 1004 67 7.15 16.85 0 88.25 14.2 4.19 0 0 2.89 17.7310356 48.5288159
"277" "TTSK" "Trnava" 203 507024 "Dvorníky" 839 95 11.32 85 10.13 12 1.43 74 8.82 313 37.3 40 4.76 100 11.91 30 3.57 0 0 72 8.58 6.95 72.68 505.126 23.3 17.56 1983 2058 75 3.78 12.73 0.43 82.68 17.56 3.83 12.94 16.09 5.44 17.7969033 48.3559471
"278" "TTSK" "Trnava" 203 507032 "Hlohovec" 10415 1456 13.97 822 7.89 262 2.51 854 8.19 3286 31.55 511 4.9 962 9.23 504 4.83 2 0.01 1376 13.21 6.47 63.05 407.9335 12.46 13.05 23264 22264 -1000 -4.3 12.45 0.09 67.31 13.04 10.66 2.86 0 3.68 17.8033288 48.4251583
"312" "TTSK" "Trnava" 207 507041 "Horná Krupá" 263 38 14.44 21 7.98 2 0.76 22 8.36 110 41.82 7 2.66 11 4.18 17 6.46 0 0 29 11.02 11.02 76.53 843.3606 24.06 11.44 517 472 -45 -8.7 16.96 0 88.17 11.24 7.1 0 0 2.54 17.5279177 48.5133306
"313" "TTSK" "Trnava" 207 507059 "Horné Dubové" 215 30 13.95 11 5.11 3 1.39 27 12.55 94 43.72 10 4.65 17 7.9 2 0.93 0 0 15 6.97 6.86 75.07 514.9802 22.05 11.02 368 379 11 2.99 21.78 0 92.13 10.76 6.04 0 0 3.69 17.5636182 48.5202958
"314" "TTSK" "Trnava" 207 507067 "Horné Orešany" 1048 141 13.45 68 6.48 14 1.33 81 7.72 321 30.62 72 6.87 121 11.54 85 8.11 0 0 94 8.96 6.23 67.72 421.8956 15.37 14.32 1868 1910 42 2.25 14.42 0.05 85.47 13.89 8.93 0 0 2.98 17.4395804 48.4662884
"279" "TTSK" "Trnava" 203 507075 "Horné Otrokovce" 455 41 9.01 25 5.49 7 1.53 62 13.62 231 50.76 3 0.65 34 7.47 10 2.19 0 0 29 6.37 6.59 76.57 504.5963 20.05 13.17 892 865 -27 -3.03 13.52 0 90.09 13.17 5.59 0 0 4.62 17.8817607 48.4901131
"201" "TTSK" "Piešťany" 204 507121 "Chtelnica" 1525 138 9.04 89 5.83 15 0.98 132 8.65 669 43.86 104 6.81 140 9.18 71 4.65 0 0 115 7.54 7.21 71.84 517.9664 15.91 13.4 2532 2593 61 2.41 13.79 0.12 83.51 13.4 6.37 0 0 3.09 17.6236671 48.5695959
"282" "TTSK" "Trnava" 203 507130 "Jalšové" 246 28 11.38 17 6.91 3 1.21 14 5.69 110 44.71 7 2.84 27 10.97 4 1.62 0 0 21 8.53 6.8 72.32 491.776 24.04 13.54 477 500 23 4.82 18.59 0 78.59 13.54 4.65 0 0 3.8 17.8297078 48.5075483
"316" "TTSK" "Trnava" 207 507156 "Jaslovské Bohunice" 1131 160 14.14 93 8.22 20 1.76 101 8.93 355 31.38 93 8.22 102 9.01 50 4.42 0 0 127 11.22 5.98 65.74 393.1252 13.53 16.86 1794 2124 330 18.39 10.59 0 81.7 16.71 7.81 2.81 0 2.97 17.6473997 48.4761986
"317" "TTSK" "Trnava" 207 507164 "Kátlovce" 664 73 10.99 45 6.77 10 1.5 42 6.32 241 36.29 75 11.29 62 9.33 40 6.02 0 0 51 7.68 5.73 69.17 396.3441 15.2 16.77 1076 1170 94 8.74 12.23 0 93.54 16.59 9.08 0 0 3.33 17.6104066 48.5259601
"283" "TTSK" "Trnava" 203 507172 "Kľačany" 512 64 12.5 29 5.66 13 2.53 34 6.64 204 39.84 18 3.51 55 10.74 21 4.1 0 0 60 11.71 8.36 69.02 577.0072 17.78 14.3 970 1064 94 9.69 15.09 0.1 72.69 14.3 5.86 10.2 0 3.67 17.8737096 48.3888657
"202" "TTSK" "Piešťany" 204 507199 "Kočín - Lančár" 278 27 9.71 23 8.27 4 1.43 56 20.14 92 33.09 17 6.11 17 6.11 9 3.23 0 0 20 7.19 6.48 77.88 504.6624 15.77 10.58 520 525 5 0.96 14.23 0 88.08 10.58 2.12 0 0 4 17.6524033 48.5953389
"284" "TTSK" "Trnava" 203 507202 "Koplotovce" 394 45 11.42 40 10.15 2 0.5 18 4.56 104 26.39 27 6.85 63 15.98 18 4.56 0 0 61 15.48 5.6 67.16 376.096 14.37 16.42 564 768 204 36.17 12.61 0.15 80.5 16.42 8.36 0 0 2.21 17.8088321 48.47459
"318" "TTSK" "Trnava" 207 507211 "Košolná" 400 76 19 43 10.75 6 1.5 30 7.5 93 23.25 30 7.5 63 15.75 23 5.75 1 0.25 30 7.5 6.79 66.4 450.856 15.81 18.71 681 781 100 14.68 12.25 0.13 85.24 18.05 5.53 0 0 3.97 17.4635919 48.4246566
"203" "TTSK" "Piešťany" 204 507229 "Krakovany" 780 101 12.94 60 7.69 12 1.53 93 11.92 206 26.41 71 9.1 44 5.64 58 7.43 0 0 111 14.23 6.08 65.36 397.3888 11.83 15.11 1335 1447 112 8.39 14.26 0 85.82 15.11 8.41 0 0 2.21 17.7551104 48.610409
"285" "TTSK" "Trnava" 203 507253 "Leopoldov" 2186 343 15.69 145 6.63 44 2.01 171 7.82 738 33.76 103 4.71 212 9.69 89 4.07 3 0.13 243 11.11 7.8 64.08 499.824 13.58 13.65 4075 4143 68 1.67 13.46 0.1 73.71 13.62 10.24 0 0 3.14 17.7681976 48.4465089
"286" "TTSK" "Trnava" 203 507288 "Madunice" 1103 123 11.15 97 8.79 10 0.9 150 13.59 380 34.45 53 4.8 116 10.51 47 4.26 0 0 83 7.52 6.53 70.74 461.9322 17.92 16.76 2018 2191 173 8.57 13.98 0.09 87.87 16.76 5.14 0 0 3.61 17.7798685 48.4767686
"321" "TTSK" "Trnava" 207 507296 "Majcichov" 1001 148 14.78 91 9.09 19 1.89 84 8.39 362 36.16 69 6.89 68 6.79 47 4.69 0 0 89 8.89 6.07 67.93 412.3351 16.33 13.4 1872 1912 40 2.14 15.9 0.33 83.61 13.13 8.03 0 0 3.24 17.6311736 48.2842643
"1184" "ZSK" "Ružomberok" 508 507300 "Ivachnová" 337 53 15.72 26 7.71 5 1.48 27 8.01 92 27.29 17 5.04 53 15.72 28 8.3 0 0 27 8.01 9.29 64.27 597.0683 16.57 15.77 494 581 87 17.61 12.38 0 81.84 15.77 8.18 0 0 4.13 19.4083211 49.0935989
"322" "TTSK" "Trnava" 207 507318 "Malženice" 806 115 14.26 64 7.94 10 1.24 72 8.93 279 34.61 49 6.07 96 11.91 28 3.47 0 0 75 9.3 7.07 64.05 452.8335 12.93 19.39 1228 1428 200 16.29 10.24 0.15 87.44 19.39 8.35 0 0 3.5 17.675462 48.4505448
"287" "TTSK" "Trnava" 203 507326 "Merašice" 203 22 10.83 27 13.3 6 2.95 19 9.35 88 43.34 8 3.94 17 8.37 4 1.97 0 0 3 1.47 8.99 74.29 667.8671 18.4 13.92 376 445 69 18.35 12.97 0.24 87.97 13.92 3.77 0 0 5.17 17.9467537 48.4634796
"204" "TTSK" "Piešťany" 204 507342 "Moravany nad Váhom" 1139 138 12.11 71 6.23 23 2.01 136 11.94 344 30.2 36 3.16 118 10.35 63 5.53 1 0.08 174 15.27 5.49 62.02 340.4898 12.39 15.54 1981 2330 349 17.62 14.74 0.09 71.62 15.45 9.96 2.5 93.1 4.16 17.8614682 48.5989232
"323" "TTSK" "Trnava" 207 507351 "Naháč" 259 30 11.58 17 6.56 3 1.15 27 10.42 107 41.31 12 4.63 6 2.31 18 6.94 1 0.38 32 12.35 6.5 67.39 438.035 17.39 11.96 447 446 -1 -0.22 21.52 0 88.91 11.52 11.52 0 0 3.14 17.5366968 48.5335664
"205" "TTSK" "Piešťany" 204 507369 "Nižná" 295 26 8.81 19 6.44 4 1.35 23 7.79 113 38.3 11 3.72 29 9.83 22 7.45 0 0 24 8.13 7.27 74.81 543.8687 17.54 14.55 529 550 21 3.97 13.81 0.19 90.3 14.55 4.66 0 0 3.45 17.6525264 48.5358292
"206" "TTSK" "Piešťany" 204 507385 "Ostrov" 698 144 20.63 44 6.3 6 0.85 62 8.88 173 24.78 76 10.88 69 9.88 22 3.15 0 0 78 11.17 8.33 71.17 592.8461 19.9 11.65 1154 1236 82 7.11 18.62 0.09 86.05 11.65 6.72 0 0 3.48 17.7676268 48.6292636
"1033" "ZSK" "Liptovský Mikuláš" 505 507393 "Konská" 141 15 10.63 12 8.51 0 0 28 19.85 61 43.26 5 3.54 5 3.54 4 2.83 0 0 9 6.38 5.12 75.81 388.1472 22.79 6.51 251 215 -36 -14.34 20.47 0 15.81 6.51 10.7 0 0 6.05 19.717268 49.1189882
"1205" "ZSK" "Ružomberok" 508 507407 "Turík" 137 22 16.05 4 2.91 0 0 21 15.32 57 41.6 11 8.02 6 4.37 6 4.37 0 0 8 5.83 6.03 72.57 437.5971 14.16 15.93 227 232 5 2.2 10.18 0 78.76 15.93 6.64 0 0 3.45 19.3807015 49.1096452
"288" "TTSK" "Trnava" 203 507415 "Pastuchov" 431 44 10.2 26 6.03 7 1.62 33 7.65 190 44.08 35 8.12 36 8.35 17 3.94 0 0 35 8.12 6.7 70.88 474.896 20.02 15.17 977 970 -7 -0.72 13.14 0.3 67.34 15.17 6.07 0 0 3.81 17.878407 48.4270013
"207" "TTSK" "Piešťany" 204 507431 "Pečeňady" 289 28 9.68 21 7.26 7 2.42 22 7.61 114 39.44 20 6.92 44 15.22 7 2.42 0 0 15 5.19 6.62 65.82 435.7284 16.5 13.95 471 529 58 12.31 13.95 0.2 81.53 13.95 6.09 0 0 3.97 17.7197776 48.4831106
"208" "TTSK" "Piešťany" 204 507440 "Piešťany" 15176 2547 16.78 891 5.87 647 4.26 1182 7.78 3721 24.51 713 4.69 1334 8.79 993 6.54 9 0.05 2685 17.69 5.36 59.22 317.4192 9.7 11.02 30066 27998 -2068 -6.88 17.58 0.29 58.91 11.01 15.06 1.73 36.24 3.16 17.827155 48.5917973
